SCHOOL_CODE,SCHOOL_YEAR,SCH_ATTENDANCE,SCH_ENROLLMENT,SCH_STUDENT_ENTERED,SCH_STUDENT_WITHDREW
"4560","2010-2011",91.6,313,57,53
"4030","2010-2011",94.7,704,3,21
"2420","2010-2011",92.5,368,47,77
"2210","2010-2011",93.6,375,26,37
"4150","2010-2011",83.6,500,86,129
"1080","2010-2011",80.6,656,131,180
"7130","2010-2011",92,562,57,70
"6430","2010-2011",92.5,389,90,71
"6330","2010-2011",89.5,602,113,187
"6310","2010-2011",94.8,386,37,43
"6240","2010-2011",92.1,349,71,57
"7260","2010-2011",94.6,408,39,33
"6230","2010-2011",95.1,333,9,37
"6110","2010-2011",89.9,362,73,87
"6100","2010-2011",92,313,30,43
"7530","2010-2011",94.2,463,41,53
"6440","2010-2011",94.5,417,39,32
"6220","2010-2011",92.2,600,101,85
"7490","2010-2011",93.4,427,45,42
"7320","2010-2011",92.7,317,44,60
"6470","2010-2011",91.4,850,136,147
"6400","2010-2011",86.8,179,12,4
"6460","2010-2011",95.1,214,6,9
"6260","2010-2011",93.2,476,37,41
"2510","2010-2011",94.6,340,28,24
"2470","2010-2011",94.7,506,20,17
"8090","2010-2011",91.4,794,9,29
"6060","2010-2011",80.8,1049,180,384
"6020","2010-2011",78.2,943,210,370
"4060","2010-2011",86.6,808,4,92
"7120","2010-2011",80.8,1548,246,377
"4140","2010-2011",79.6,426,63,125
"4020","2010-2011",78.6,1500,254,397
"1100","2010-2011",76.2,615,127,138
"7010","2010-2011",75,1793,268,449
"5060","2010-2011",88.4,960,9,81
"1060","2010-2011",84.8,420,27,60
"6030","2010-2011",83.7,652,54,142
"5020","2010-2011",77,1671,374,552
"2160","2010-2011",85.8,575,114,91
"1020","2010-2011",76.1,832,190,334
"1010","2010-2011",82.5,1127,205,250
"8030","2010-2011",87.6,2035,194,216
"5510","2010-2011",74.7,507,113,196
"2130","2010-2011",82.1,339,104,101
"2000","2010-2011",77.8,843,238,309
"8010","2010-2011",82,1794,281,474
"2010","2010-2011",82.9,642,124,198
"2440","2010-2011",90.1,421,78,62
"2340","2010-2011",96.7,571,59,53
"2200","2010-2011",91.2,548,116,84
"2690","2010-2011",93,460,70,63
"2480","2010-2011",93.3,199,29,26
"2450","2010-2011",92.3,226,24,20
"2320","2010-2011",93.2,605,81,102
"2240","2010-2011",92.4,393,32,52
"2090","2010-2011",85.6,1010,7,132
"5470","2010-2011",92.4,674,112,97
"5420","2010-2011",93.3,596,71,57
"5200","2010-2011",93.6,424,32,37
"7440","2010-2011",91.8,583,80,100
"5410","2010-2011",93.1,284,55,51
"5390","2010-2011",90.7,414,59,86
"5230","2010-2011",94.5,794,1,30
"5210","2010-2011",92.1,469,95,56
"7390","2010-2011",91.9,725,101,107
"7290","2008-2009",90.2,413,68,70
"5300","2008-2009",91.7,440,45,51
"1190","2008-2009",94.1,217,9,13
"6410","2008-2009",95.2,386,32,39
"7100","2010-2011",93.4,462,101,96
"6390","2010-2011",92.1,561,105,87
"6050","2010-2011",91.8,1094,10,60
"5500","2010-2011",93.9,718,93,68
"7270","2010-2011",94.1,861,64,83
"7370","2010-2011",93.9,758,62,55
"7310","2010-2011",93.3,669,87,73
"7500","2010-2011",91.5,683,82,98
"7400","2010-2011",94.6,789,97,95
"7200","2010-2011",92.5,712,126,87
"4310","2010-2011",90.7,354,58,67
"8300","2008-2009",92.9,913,81,62
"5370","2008-2009",94.7,413,35,44
"1430","2008-2009",92.2,268,28,40
"6110","2008-2009",88,386,122,120
"4330","2008-2009",82.2,321,50,69
"8200","2008-2009",92.5,943,104,102
"4380","2008-2009",91.5,385,76,59
"8030","2008-2009",86.1,2082,234,287
"6470","2008-2009",92.2,885,169,172
"5490","2008-2009",91.4,453,84,89
"2590","2008-2009",93.2,234,17,12
"2210","2008-2009",92.5,416,27,31
"6450","2008-2009",94.8,263,9,12
"4270","2008-2009",93.8,267,50,27
"2140","2008-2009",96.7,1212,1,7
"7330","2008-2009",91.7,715,96,72
"7270","2008-2009",92.5,873,87,84
"6070","2008-2009",91.4,311,2,25
"1470","2008-2009",91.2,428,136,109
"4280","2008-2009",92.8,370,27,33
"5440","2008-2009",91.9,721,154,135
"1280","2008-2009",95.6,527,27,44
"2320","2008-2009",91.5,585,78,67
"6390","2008-2009",92.9,498,99,91
"8160","2008-2009",93.2,1303,78,131
"6300","2008-2009",91.9,436,60,55
"7110","2008-2009",86.5,884,174,216
"5200","2008-2009",93.7,415,42,26
"7320","2008-2009",93,288,47,61
"7510","2010-2011",92.2,639,85,83
"7350","2010-2011",93.5,982,129,99
"8250","2010-2011",93.4,1128,124,123
"5650","2010-2011",91.9,226,47,35
"5400","2010-2011",92.2,695,61,88
"7110","2010-2011",90,829,136,212
"5440","2010-2011",92.2,772,165,111
"5520","2010-2011",81.5,519,458,133
"5430","2010-2011",92.2,393,9,15
"8200","2010-2011",91.9,912,119,108
"7470","2010-2011",93.3,451,19,25
"7290","2010-2011",90.8,470,118,92
"8240","2010-2011",91.5,826,135,127
"7150","2010-2011",93.4,1088,90,80
"8300","2010-2011",94.1,991,96,82
"7330","2010-2011",92.3,853,86,97
"5600","2010-2011",87.8,81,21,39
"5590","2010-2011",91.9,937,182,189
"5550","2010-2011",76.8,506,76,150
"5530","2010-2011",89.7,766,176,158
"5240","2010-2011",81.6,268,33,60
"7360","2010-2011",91.1,397,85,96
"8440","2010-2011",93.8,762,88,85
"8120","2010-2011",92.8,1201,123,115
"8390","2010-2011",92.4,802,88,77
"8350","2010-2011",93.6,1320,168,167
"8320","2010-2011",92.5,165,20,21
"8260","2010-2011",94.1,414,34,31
"8160","2010-2011",93.6,1276,69,149
"8230","2010-2011",94.3,375,20,34
"6200","2008-2009",94.6,515,88,94
"7380","2008-2009",91.8,484,79,73
"5170","2008-2009",91.2,656,87,101
"1490","2008-2009",92.3,383,91,57
"2010","2008-2009",82.1,647,91,145
"5530","2008-2009",90,881,139,207
"5350","2008-2009",91.7,315,31,38
"8160","2009-2010",94.2,1307,55,133
"4450","2009-2010",92.2,325,51,59
"2480","2009-2010",93.8,203,25,22
"2540","2009-2010",94.4,424,34,46
"8410","2009-2010",94.3,700,56,48
"8440","2009-2010",94,749,78,30
"5400","2009-2010",92.2,666,74,79
"7320","2009-2010",92.9,305,51,40
"1390","2009-2010",95.5,241,11,12
"8020","2009-2010",88.8,3218,243,289
"5020","2009-2010",80.1,1923,218,362
"5520","2009-2010",82.5,536,150,162
"1230","2009-2010",91.8,528,73,82
"6340","2009-2010",93.8,409,44,36
"1150","2009-2010",91.1,659,99,135
"6330","2009-2010",89.6,646,119,143
"7360","2009-2010",91.7,389,81,53
"7460","2009-2010",94.2,545,64,55
"5250","2009-2010",92.1,182,27,22
"2390","2009-2010",93.4,353,50,50
"1360","2009-2010",89.8,289,63,45
"6260","2009-2010",93.4,519,31,33
"6240","2009-2010",93.8,339,71,54
"5420","2008-2009",93.1,627,60,70
"8380","2008-2009",93.8,830,70,46
"8440","2008-2009",93.5,757,79,59
"7370","2008-2009",92,864,97,87
"2370","2008-2009",90.9,557,110,72
"4570","2008-2009",91.5,411,42,70
"6480","2008-2009",95.6,240,2,4
"4470","2008-2009",92.3,371,67,59
"7120","2008-2009",76.6,1571,240,476
"5080","2008-2009",91.4,331,3,16
"8020","2008-2009",86.1,3108,221,283
"2440","2008-2009",91,438,60,85
"5150","2008-2009",93.8,561,2,18
"7220","2008-2009",91.5,1452,230,252
"2390","2008-2009",92.1,369,68,92
"4030","2008-2009",94,596,3,13
"4240","2008-2009",92.7,637,108,86
"4310","2008-2009",91,377,81,67
"1360","2008-2009",88.6,290,58,63
"1050","2008-2009",89.6,292,8,15
"5060","2008-2009",87.3,1082,13,96
"6220","2008-2009",91.7,550,107,85
"6400","2008-2009",87.4,181,14,12
"5110","2008-2009",89.1,697,89,100
"7360","2008-2009",89.8,459,79,115
"8180","2008-2009",94.2,480,33,19
"2450","2008-2009",92.1,225,15,21
"7300","2008-2009",91.9,942,129,129
"2160","2008-2009",80,741,151,212
"1460","2008-2009",91.7,424,70,55
"1110","2008-2009",92.3,296,45,53
"2410","2008-2009",95.9,489,3,7
"1110","2010-2011",94,237,46,46
"1300","2010-2011",93.2,446,93,47
"1280","2010-2011",96.3,589,19,48
"1460","2010-2011",90.3,506,146,103
"1330","2010-2011",91.7,805,121,148
"6270","2010-2011",96.2,509,25,34
"6250","2010-2011",94.9,438,13,22
"6010","2010-2011",94.8,2387,2,57
"5340","2010-2011",93.9,302,63,62
"4570","2010-2011",90.7,364,49,48
"6090","2008-2009",86,394,1,17
"7130","2008-2009",91.6,564,77,57
"1300","2008-2009",92.8,455,58,71
"1080","2008-2009",71.9,1131,231,432
"5410","2008-2009",91.4,265,82,61
"5050","2008-2009",93.8,277,0,15
"2480","2008-2009",90.9,219,35,21
"8430","2008-2009",96.1,674,25,19
"8210","2008-2009",93,578,95,110
"1010","2008-2009",80.6,1374,327,431
"2090","2008-2009",85.4,1026,13,153
"8260","2008-2009",93.3,327,21,28
"1250","2008-2009",91.8,620,80,114
"1130","2008-2009",91,445,63,100
"5240","2008-2009",83.1,273,26,54
"2580","2008-2009",94.2,363,35,19
"2190","2008-2009",93.4,502,50,55
"1580","2008-2009",95.3,280,6,9
"7500","2008-2009",91.1,715,94,85
"2730","2008-2009",96,347,13,19
"7470","2008-2009",93.8,445,46,60
"6430","2008-2009",91.4,415,76,83
"2640","2008-2009",95.2,464,63,47
"4460","2008-2009",91.6,376,40,47
"5680","2008-2009",91.8,817,119,124
"6460","2008-2009",95.6,230,4,5
"1100","2008-2009",77.2,637,183,163
"8370","2008-2009",94.2,392,32,21
"7400","2008-2009",95.1,813,87,88
"7260","2008-2009",94.3,425,69,67
"5350","2010-2011",93.4,289,34,29
"6280","2010-2011",92,501,88,89
"2590","2010-2011",94,258,16,19
"6350","2010-2011",93.1,470,82,56
"4470","2010-2011",92.1,421,67,50
"4100","2010-2011",89.9,482,71,71
"2520","2010-2011",94.5,357,15,12
"5150","2010-2011",94.4,549,1,12
"7300","2010-2011",92,874,124,100
"8370","2010-2011",94.1,449,38,23
"7430","2010-2011",90.8,635,89,96
"6480","2010-2011",95.5,244,1,4
"5450","2010-2011",79.9,415,101,72
"6450","2010-2011",95.1,255,9,19
"6380","2010-2011",93.9,590,28,20
"1580","2010-2011",94.4,246,4,7
"1360","2010-2011",89.8,338,55,61
"6410","2010-2011",94.6,429,14,26
"6300","2010-2011",93.3,398,57,38
"5330","2010-2011",92,521,56,49
"5250","2010-2011",91.8,170,26,21
"2670","2010-2011",90,382,1,9
"7380","2010-2011",91.3,462,112,61
"5050","2010-2011",94.8,250,0,20
"5320","2010-2011",96.4,410,125,115
"5280","2010-2011",90.9,555,99,108
"5170","2010-2011",93.3,571,79,67
"5680","2010-2011",92.9,721,102,87
"5290","2010-2011",93.2,381,30,76
"7280","2010-2011",93.7,1059,157,132
"4220","2010-2011",91.9,266,61,47
"4430","2010-2011",92.3,489,80,86
"2290","2010-2011",89.3,676,6,21
"5370","2010-2011",95.1,446,43,48
"4530","2010-2011",92.8,336,41,54
"4450","2010-2011",89.8,347,72,67
"1030","2008-2009",84.1,390,12,40
"6280","2008-2009",91.7,500,98,116
"5500","2008-2009",95.1,599,117,83
"6440","2008-2009",94.3,363,26,34
"1420","2008-2009",92.3,363,34,32
"1440","2008-2009",92,688,84,91
"2490","2008-2009",92.2,210,39,24
"5210","2008-2009",92.9,394,71,80
"5070","2008-2009",92,292,5,12
"6030","2008-2009",78.4,926,85,205
"8400","2008-2009",95.1,960,96,104
"2650","2008-2009",93.3,369,5,8
"8090","2008-2009",89.8,747,7,21
"7390","2008-2009",92.2,766,102,101
"7200","2008-2009",91.9,666,90,78
"7530","2008-2009",93.4,476,63,42
"2470","2008-2009",94.3,475,14,16
"2000","2008-2009",75.3,1237,314,535
"8420","2008-2009",93.6,791,50,47
"6020","2008-2009",72.4,1276,266,428
"1530","2008-2009",91.8,288,55,43
"8010","2008-2009",78.1,1778,395,570
"5430","2008-2009",92.4,401,6,12
"5020","2008-2009",76.3,2122,307,547
"5280","2008-2009",91.9,577,56,68
"6250","2008-2009",94.4,505,19,37
"4430","2008-2009",92.9,447,106,80
"8250","2008-2009",92.5,1050,134,145
"6340","2008-2009",93,415,40,59
"5340","2008-2009",92,285,52,53
"6540","2010-2011",93,273,6,15
"6070","2010-2011",92.1,319,5,36
"5070","2010-2011",91.6,274,3,10
"5490","2010-2011",91.9,389,65,63
"5300","2010-2011",91,404,38,40
"5260","2010-2011",91.1,831,154,138
"5110","2010-2011",90.5,406,49,54
"1260","2010-2011",90.9,485,109,87
"1490","2010-2011",91.8,358,131,62
"1470","2010-2011",91.9,419,119,89
"1200","2010-2011",91.1,756,121,143
"6320","2010-2011",93.2,234,31,32
"1530","2010-2011",92,310,65,56
"1420","2010-2011",93.6,375,50,33
"4300","2010-2011",91.5,440,72,67
"1410","2010-2011",90.5,615,125,130
"2730","2010-2011",96.7,290,22,28
"2720","2010-2011",93.9,321,29,33
"2020","2010-2011",93.5,683,5,22
"8360","2010-2011",94.8,524,38,45
"8430","2010-2011",96.4,666,42,39
"8420","2010-2011",93.4,901,74,85
"8400","2010-2011",94.6,986,103,115
"8310","2010-2011",94.3,1116,120,113
"8270","2010-2011",92.6,417,71,64
"8140","2010-2011",91.1,576,72,76
"8340","2010-2011",93.6,1130,151,84
"8040","2010-2011",93.8,380,25,16
"4370","2010-2011",93.9,258,53,34
"1390","2010-2011",95,236,13,14
"6090","2010-2011",87.7,352,8,30
"4330","2010-2011",83.8,249,42,46
"4280","2010-2011",92.6,324,59,26
"5090","2010-2011",89.6,286,10,13
"4480","2010-2011",95.6,273,7,4
"4240","2010-2011",93.8,634,93,81
"2640","2010-2011",95,509,75,55
"2370","2010-2011",90.4,836,111,143
"2580","2010-2011",94.4,466,47,31
"2540","2010-2011",94.3,439,46,36
"2380","2010-2011",96,492,13,15
"2260","2010-2011",93.3,553,55,67
"2190","2010-2011",93.8,499,56,47
"1400","2010-2011",92.6,682,108,110
"1250","2010-2011",92.5,583,76,87
"4140","2008-2009",81.6,499,103,123
"6270","2008-2009",95.1,465,23,18
"1260","2008-2009",92.5,548,105,89
"8390","2008-2009",92.5,737,66,59
"8410","2008-2009",94.5,658,48,58
"4060","2008-2009",86.6,851,17,88
"1290","2008-2009",92.3,688,57,74
"1200","2008-2009",89.1,645,218,155
"8140","2008-2009",89.6,702,96,99
"2620","2008-2009",94.9,351,11,11
"4020","2008-2009",77.2,1694,362,476
"8120","2008-2009",93.4,1131,110,114
"4440","2008-2009",88.7,342,84,60
"2340","2008-2009",96.3,464,52,58
"1380","2008-2009",91.9,798,130,129
"6320","2008-2009",91.9,281,24,35
"5330","2008-2009",90.3,509,69,45
"1330","2008-2009",92.6,744,142,109
"5400","2008-2009",91.3,660,79,86
"7430","2008-2009",90.5,707,119,111
"1230","2008-2009",90.3,520,98,109
"2690","2008-2009",92.2,410,62,71
"2520","2008-2009",94.1,358,9,11
"2240","2008-2009",91.6,393,56,48
"6100","2008-2009",91.7,271,38,36
"6260","2008-2009",92.7,458,49,30
"4480","2008-2009",95.3,305,6,4
"6240","2008-2009",92.3,352,83,75
"4150","2008-2009",80.3,440,116,120
"8270","2008-2009",91.7,462,46,62
"6380","2008-2009",93.1,545,38,26
"4560","2008-2009",92.1,322,73,84
"5560","2010-2011",93.3,295,45,45
"2490","2010-2011",93.6,262,32,41
"4460","2010-2011",92.8,359,36,32
"4400","2010-2011",92.6,388,84,86
"4390","2010-2011",90.9,371,51,50
"7730","2010-2011",90,708,98,115
"7220","2010-2011",92.5,1637,225,256
"7460","2010-2011",93,535,82,58
"8410","2010-2011",94.3,738,66,70
"2410","2010-2011",95.8,497,0,7
"4270","2010-2011",94.2,292,75,61
"5080","2010-2011",92.1,393,3,21
"6340","2010-2011",93.1,436,76,59
"2620","2010-2011",94.6,564,9,21
"4530","2008-2009",94.2,339,38,33
"2670","2008-2009",90.5,294,4,8
"1150","2008-2009",90.7,703,111,172
"5390","2008-2009",90.4,471,67,63
"5250","2008-2009",89.8,214,27,30
"5550","2008-2009",78.3,541,92,177
"6540","2008-2009",91,298,5,13
"7310","2008-2009",92.8,730,96,83
"2200","2008-2009",90,559,121,100
"8310","2008-2009",93.6,1099,114,105
"5290","2008-2009",91.3,403,71,68
"2380","2008-2009",95.3,449,14,11
"7150","2008-2009",93.5,967,109,140
"5510","2008-2009",77.5,511,162,225
"8230","2008-2009",93.9,356,22,26
"5260","2008-2009",90.8,869,155,162
"1020","2008-2009",77.9,941,236,270
"5230","2008-2009",94.1,840,14,30
"7100","2008-2009",92,491,101,122
"4400","2008-2009",88.3,420,62,68
"4320","2008-2009",94.8,627,62,79
"8360","2008-2009",93.8,478,50,50
"4300","2008-2009",90.5,475,83,97
"1400","2008-2009",92.7,684,107,106
"5590","2008-2009",91.9,936,141,165
"8350","2008-2009",93.4,1318,126,157
"6350","2008-2009",94.5,446,65,60
"5320","2008-2009",94.7,424,91,73
"7490","2008-2009",94.3,451,41,33
"2540","2008-2009",93.8,414,33,42
"1030","2010-2011",89.2,406,13,51
"4320","2010-2011",96.2,556,77,52
"8210","2010-2011",92.7,528,61,62
"2630","2010-2011",93.1,528,50,35
"5480","2010-2011",94.7,416,57,37
"1050","2010-2011",89.5,281,10,18
"1440","2010-2011",93.3,620,55,100
"8020","2010-2011",86.6,3305,232,415
"8380","2010-2011",93.6,916,102,80
"8180","2010-2011",94.6,489,29,22
"4380","2010-2011",92.5,394,40,48
"2390","2010-2011",90.7,340,88,79
"6210","2010-2011",97,617,64,72
"6200","2010-2011",94.9,501,91,114
"6040","2010-2011",92.5,576,3,22
"6310","2008-2009",93.2,338,25,28
"5520","2008-2009",80.3,526,195,247
"7510","2008-2009",91.4,653,114,120
"1340","2008-2009",92.4,431,51,53
"1390","2008-2009",94.5,234,8,17
"2020","2008-2009",93.2,664,3,21
"4370","2008-2009",93.9,294,15,24
"8040","2008-2009",94.3,121,4,6
"5560","2008-2009",94,322,41,54
"1370","2008-2009",92,553,112,101
"2420","2008-2009",92.2,417,61,87
"2130","2008-2009",71.9,455,66,129
"7460","2008-2009",93.4,477,70,50
"6210","2008-2009",95.2,576,67,50
"4100","2008-2009",89.9,457,66,83
"2510","2008-2009",93.2,326,30,46
"2630","2008-2009",93.1,455,53,18
"8340","2008-2009",92.6,1117,120,108
"4450","2008-2009",92.2,323,53,62
"5650","2008-2009",88.2,179,21,37
"6050","2008-2009",91.4,1019,5,38
"7440","2008-2009",91.3,601,105,103
"7010","2008-2009",76.9,1996,422,689
"8240","2008-2009",90.6,832,142,128
"1410","2008-2009",90.3,541,77,93
"5090","2008-2009",88.2,322,9,11
"4440","2010-2011",91.9,394,56,53
"2650","2010-2011",93.9,482,3,6
"2140","2010-2011",96.9,1184,6,10
"1190","2010-2011",95,206,11,13
"1430","2010-2011",93.6,231,18,20
"1380","2010-2011",92.6,772,109,143
"1230","2010-2011",91.6,476,94,97
"1290","2010-2011",92.8,601,110,74
"1370","2010-2011",91.3,527,102,90
"1350","2010-2011",92.5,518,66,66
"1340","2010-2011",92.1,396,62,58
"1150","2010-2011",91,565,110,119
"1130","2010-2011",89.6,405,63,55
"2410","2009-2010",96.4,488,9,10
"6280","2009-2010",92.5,483,82,86
"7400","2009-2010",95.2,832,90,67
"4300","2009-2010",93,436,64,53
"2260","2009-2010",93.8,607,51,49
"2640","2009-2010",95.8,474,50,36
"8340","2009-2010",93.4,1157,95,107
"4440","2009-2010",91.2,388,64,78
"8390","2009-2010",93.3,793,40,56
"5490","2009-2010",92,454,62,82
"5560","2009-2010",94.1,312,38,51
"1430","2009-2010",92.7,248,25,27
"8360","2009-2010",94.2,516,31,41
"2520","2009-2010",94.3,355,2,9
"1080","2009-2010",78.5,813,115,188
"2000","2009-2010",78.9,965,200,318
"4150","2009-2010",80.3,493,86,97
"4140","2009-2010",83.3,506,83,151
"6010","2009-2010",95.9,2341,4,42
"6040","2009-2010",93.9,556,0,11
"7500","2009-2010",92.2,731,67,104
"2490","2009-2010",94,239,28,32
"1380","2009-2010",93.1,783,90,106
"8350","2009-2010",93.6,1299,127,109
"5290","2009-2010",92.9,418,72,76
"6270","2009-2010",96.1,463,23,29
"2580","2009-2010",95.1,413,35,25
"1400","2009-2010",93.2,730,115,92
"5590","2009-2010",93.3,925,127,142
"7310","2009-2010",93.9,707,77,84
"2650","2009-2010",94.2,488,2,11
"2670","2009-2010",91,388,2,16
"2140","2009-2010",96.9,1207,0,10
"1470","2009-2010",92.4,443,103,69
"5480","2009-2010",95.1,439,34,42
"6110","2009-2010",91.1,393,86,65
"2730","2009-2010",93.8,314,26,20
"5430","2009-2010",92.9,420,6,8
"1440","2009-2010",93.7,623,56,68
"8210","2009-2010",93.5,544,61,70
"8270","2009-2010",92.5,460,46,95
"7470","2009-2010",94.2,424,28,31
"6400","2009-2010",86.1,185,15,10
"6030","2009-2010",82.3,845,69,148
"8090","2009-2010",91.6,792,10,21
"1060","2009-2010",85.7,460,10,71
"7130","2009-2010",93,564,68,63
"1460","2009-2010",91.7,534,68,72
"7730","2009-2010",89.9,694,97,108
"5340","2009-2010",94.3,276,55,45
"6440","2009-2010",94.4,395,35,34
"8380","2009-2010",94,882,60,41
"7200","2009-2010",92.4,671,89,83
"5080","2009-2010",92,376,9,13
"1130","2009-2010",90.6,420,40,63
"7150","2009-2010",94.5,1015,81,79
"7390","2009-2010",93.1,756,100,83
"7280","2009-2010",94.1,1090,162,171
"8240","2009-2010",91.8,826,118,107
"1260","2009-2010",92.4,590,120,92
"2630","2009-2010",93.7,516,32,27
"5280","2009-2010",92.5,545,66,60
"7490","2009-2010",94.2,435,43,31
"4240","2009-2010",93.2,615,69,59
"7010","2009-2010",79.6,1795,259,277
"1020","2009-2010",82.2,872,186,223
"4020","2009-2010",79.4,1642,262,376
"5440","2009-2010",92.3,741,175,127
"2160","2009-2010",84.6,673,121,163
"1420","2009-2010",93.7,352,33,32
"4460","2009-2010",93.2,375,36,36
"8400","2009-2010",95.5,974,73,71
"4280","2009-2010",93.2,358,41,21
"6200","2009-2010",95.4,526,88,80
"6070","2009-2010",93.5,306,4,18
"5060","2009-2010",90.2,917,6,59
"1030","2009-2010",87.7,485,9,51
"1200","2009-2010",90,758,143,115
"2210","2009-2010",93.7,395,27,36
"4220","2009-2010",92.9,300,47,43
"1110","2009-2010",93.5,244,45,29
"1530","2009-2010",93.8,300,47,38
"4430","2009-2010",93.6,469,84,61
"2450","2009-2010",92.5,212,24,18
"1290","2009-2010",93.5,641,55,67
"1350","2009-2010",91.8,522,87,71
"6390","2009-2010",94.1,559,71,93
"6220","2009-2010",93.4,565,86,75
"7100","2009-2010",94,455,72,64
"6230","2009-2010",95,326,9,18
"7260","2009-2010",94.8,407,62,47
"5530","2009-2010",91.4,857,103,153
"1250","2009-2010",93.2,604,81,66
"7440","2009-2010",93.2,538,86,59
"6060","2009-2010",84.2,1209,220,354
"2020","2009-2010",94.2,665,3,11
"5070","2009-2010",93.4,278,7,5
"6100","2009-2010",93.5,302,35,30
"8420","2009-2010",93.9,854,59,47
"7110","2009-2010",89.1,854,150,157
"6210","2009-2010",95.7,605,64,54
"2470","2009-2010",95,500,23,26
"5320","2009-2010",94.9,425,86,94
"7220","2009-2010",92.6,1553,242,205
"2440","2009-2010",91.1,377,74,53
"6350","2009-2010",94.1,447,95,77
"2340","2009-2010",96.8,492,76,37
"6300","2009-2010",93.3,397,58,45
"5470","2009-2010",94,640,112,81
"7380","2009-2010",92.2,482,84,62
