SCHOOL_CODE,SCHOOL_YEAR,SCH_ATTENDANCE,SCH_ENROLLMENT,SCH_STUDENT_ENTERED,SCH_STUDENT_WITHDREW
"5260","2009-2010",91.8,826,133,144
"5150","2009-2010",94.9,534,3,11
"1010","2009-2010",83.5,1305,220,292
"4470","2009-2010",93.5,391,76,58
"6020","2009-2010",78.5,1045,205,222
"7120","2009-2010",82,1653,281,349
"1050","2009-2010",90.6,313,3,23
"4330","2009-2010",87.4,267,28,44
"4270","2009-2010",93.9,277,42,35
"4400","2009-2010",91.6,460,67,90
"5420","2009-2010",93.9,603,64,48
"6250","2009-2010",94.8,511,15,51
"6320","2009-2010",93,267,26,36
"7530","2009-2010",94.7,452,52,50
"2420","2009-2010",93.8,417,50,74
"7330","2009-2010",92.4,804,98,65
"8230","2009-2010",94.5,384,37,36
"2010","2009-2010",86,682,108,139
"5550","2009-2010",79,540,115,183
"6090","2009-2010",89.4,421,5,33
"7280","2008-2009",93,1103,168,149
"5480","2008-2009",94.6,428,39,45
"5470","2008-2009",92.8,624,96,78
"1350","2008-2009",91.3,572,93,106
"2720","2008-2009",93.1,336,31,46
"6230","2008-2009",93.8,342,8,27
"6010","2008-2009",95.1,2217,2,39
"4390","2008-2009",90.5,403,67,67
"6060","2008-2009",77.4,1244,309,415
"5450","2008-2009",82.4,396,118,86
"7730","2008-2009",88.1,694,109,120
"6330","2008-2009",88.3,690,138,169
"4220","2008-2009",91.3,330,57,72
"6040","2008-2009",93.2,559,2,23
"1060","2008-2009",81.7,497,19,96
"2290","2008-2009",89.7,664,4,33
"8320","2008-2009",90.8,242,22,23
"7350","2008-2009",92.4,1013,98,118
"2260","2008-2009",92.4,571,45,41
"5240","2009-2010",83.5,307,19,56
"8200","2009-2010",93.1,907,110,98
"4530","2009-2010",93.2,354,34,40
"7270","2009-2010",93.5,880,72,69
"2380","2009-2010",95.8,473,5,12
"5390","2009-2010",90.8,474,58,68
"1490","2009-2010",93.4,401,49,46
"1410","2009-2010",91.7,602,108,112
"5110","2009-2010",90.6,518,48,59
"1340","2009-2010",92.5,438,38,38
"2370","2009-2010",91.9,727,101,71
"5680","2009-2010",93.1,703,88,82
"6460","2009-2010",95.2,210,12,0
"8250","2009-2010",93.9,1115,90,110
"1300","2009-2010",93.9,449,59,35
"1330","2009-2010",92.7,759,122,98
"6540","2009-2010",93.3,301,5,8
"5450","2009-2010",81.4,444,65,73
"1100","2009-2010",79.9,692,114,178
"4030","2009-2010",95.4,640,4,11
"5650","2009-2010",90.5,226,57,61
"5350","2009-2010",93.6,304,28,26
"8430","2009-2010",96,686,40,34
"6470","2009-2010",91.6,908,130,177
"2200","2009-2010",92,522,111,97
"2240","2009-2010",92.6,387,42,60
"5170","2009-2010",93.4,638,77,88
"2320","2009-2010",92.7,608,47,55
"8260","2009-2010",93.9,372,36,27
"5300","2009-2010",92.9,418,28,44
"8030","2009-2010",87.8,2189,183,257
"4060","2009-2010",88.6,828,11,82
"6050","2009-2010",93.5,1082,4,41
"8040","2009-2010",95,252,3,9
"2190","2009-2010",94.6,485,49,27
"7510","2009-2010",93,665,68,95
"1280","2009-2010",96.3,544,19,10
"4100","2009-2010",90.4,516,76,68
"5330","2009-2010",94.5,502,51,38
"6430","2009-2010",91.8,423,71,100
"7290","2009-2010",92,401,92,57
"8120","2009-2010",93.6,1182,97,67
"4480","2009-2010",96.1,276,6,4
"6410","2009-2010",95.6,417,28,34
"8300","2009-2010",94.4,921,70,71
"8180","2009-2010",94.2,497,30,35
"6310","2009-2010",93.8,356,37,28
"5210","2009-2010",94.9,419,52,46
"5370","2009-2010",95.2,425,46,20
"8310","2009-2010",94.4,1121,96,97
"5090","2009-2010",91,315,5,15
"2290","2009-2010",91.2,658,4,37
"6480","2009-2010",95.9,239,2,6
"7370","2009-2010",93.3,815,64,61
"5500","2009-2010",95.8,689,76,57
"2690","2009-2010",93.4,427,48,36
"8320","2009-2010",93,188,5,12
"7350","2009-2010",94.5,958,108,85
"6450","2009-2010",95.2,267,11,7
"5200","2009-2010",93.8,447,25,24
"6380","2009-2010",94.5,587,23,31
"2510","2009-2010",94.5,308,17,30
"4390","2009-2010",91.9,394,49,49
"4370","2009-2010",95.1,272,24,18
"5410","2009-2010",93.6,270,42,38
"8010","2009-2010",83.8,1762,266,354
"2090","2009-2010",87.8,945,23,119
"1190","2009-2010",95.2,222,1,6
"2130","2009-2010",76.7,399,67,111
"4310","2009-2010",91.6,391,65,65
"5230","2009-2010",94.5,808,30,30
"8140","2009-2010",91,625,51,64
"1580","2009-2010",95.4,280,2,6
"2720","2009-2010",94.7,334,25,36
"4320","2009-2010",96.1,619,50,69
"6410","2011-2012",95.7,485,7,17
"6040","2011-2012",95.2,518,2,9
"5400","2011-2012",94.5,687,17,29
"5390","2011-2012",92.9,406,23,14
"4480","2011-2012",96.6,248,2,4
"7150","2011-2012",95.3,1106,42,36
"8040","2011-2012",96,510,0,7
"7440","2011-2012",95.3,509,29,19
"1010","2011-2012",86.8,1005,74,129
"7530","2011-2012",96.6,419,20,19
"2480","2011-2012",94.5,194,12,14
"5090","2011-2012",93.9,264,0,7
"5170","2011-2012",95.2,562,35,22
"4440","2011-2012",93.9,445,34,13
"6220","2011-2012",94.5,606,44,33
"6070","2011-2012",95.7,244,0,6
"5410","2011-2012",93.8,285,17,10
"2410","2011-2012",97.9,501,2,2
"4570","2011-2012",92.9,348,22,14
"5650","2011-2012",91,245,8,11
"1290","2011-2012",95.4,627,44,14
"5370","2011-2012",96.1,444,17,7
"2020","2011-2012",96,694,0,3
"6340","2011-2012",95.3,432,22,20
"5340","2011-2012",95.1,297,11,13
"8180","2011-2012",96.9,506,4,8
"5490","2011-2012",92.3,411,37,35
"5590","2011-2012",94.4,912,51,33
"4380","2011-2012",94.6,388,30,11
"5260","2011-2012",93.9,803,35,22
"8120","2011-2012",94.7,1201,35,28
"1030","2011-2012",93.9,406,4,21
"8360","2011-2012",97.1,536,17,24
"2130","2011-2012",85.9,324,18,18
"1360","2011-2012",92.8,368,18,25
"6010","2011-2012",97.2,2373,4,15
"7110","2011-2012",92.6,695,38,30
"2380","2011-2012",97.1,509,2,7
"1230","2011-2012",91.7,522,22,29
"1410","2011-2012",91.8,591,46,30
"8210","2011-2012",94.4,561,15,13
"7280","2011-2012",96.3,1027,28,33
"4060","2011-2012",85.7,807,10,59
"5520","2011-2012",86.9,442,57,24
"6060","2011-2012",82.7,879,119,230
"4370","2011-2012",95.9,261,19,5
"2580","2011-2012",96.4,499,5,11
"7460","2011-2012",95.5,534,13,19
"6090","2011-2012",91.6,400,1,6
"6400","2011-2012",85.4,172,5,0
"7120","2011-2012",89.3,1340,67,71
"2730","2011-2012",96,265,7,2
"6030","2011-2012",88.9,533,20,18
"1340","2011-2012",95.2,355,23,12
"7310","2011-2012",95.9,680,17,19
"1300","2011-2012",95.7,516,45,17
"7300","2011-2012",94.9,894,23,35
"6320","2011-2012",95.3,237,5,9
"2450","2011-2012",95.5,233,4,3
"8240","2011-2012",94.2,841,21,40
"2160","2011-2012",90,583,34,29
"2340","2011-2012",97.6,615,18,11
"5510","2011-2012",82.2,439,44,37
"2590","2011-2012",95.1,248,1,5
"1130","2011-2012",90.4,335,21,11
"2620","2011-2012",96.9,644,11,8
"5500","2011-2012",95.5,723,58,20
"2510","2011-2012",95.9,398,16,16
"4150","2011-2012",86.9,401,26,24
"4300","2011-2012",93.9,429,30,26
"8140","2011-2012",92.8,600,25,23
"6390","2011-2012",93.6,507,32,36
"6440","2011-2012",95.7,404,17,23
"2200","2011-2012",93.3,589,45,24
"7380","2011-2012",94.6,481,40,19
"8400","2011-2012",96.8,1003,20,26
"2440","2011-2012",91.7,420,35,17
"1060","2011-2012",89.8,356,0,22
"4460","2011-2012",94.2,318,18,8
"7400","2011-2012",95.1,791,36,22
"8380","2011-2012",95.5,951,33,27
"4470","2011-2012",94,399,28,27
"6110","2011-2012",92.3,321,32,20
"1400","2011-2012",94.6,683,28,23
"8020","2011-2012",92.7,3110,62,117
"4400","2011-2012",93.2,343,19,18
"5210","2011-2012",94.4,598,11,22
"2670","2011-2012",94.1,371,2,4
"8090","2011-2012",95.1,743,2,8
"2720","2011-2012",95.4,352,16,3
"6470","2011-2012",94.8,777,49,59
"8010","2011-2012",88.1,1801,87,48
"8420","2011-2012",96,977,9,19
"6300","2011-2012",94.3,365,13,24
"4140","2011-2012",77.7,366,21,36
"7200","2011-2012",95.3,745,33,25
"1370","2011-2012",94.2,528,37,21
"5200","2011-2012",96.1,400,8,5
"4270","2011-2012",95.4,297,19,4
"5230","2011-2012",95,747,1,13
"1250","2011-2012",95.7,582,24,6
"7220","2011-2012",93.6,1638,71,55
"5060","2011-2012",92.4,872,0,26
"2320","2011-2012",95.5,570,19,10
"4560","2011-2012",94.3,309,23,14
"1380","2011-2012",94.8,782,40,36
"8250","2011-2012",95.6,1145,27,26
"5550","2011-2012",83.3,437,24,41
"6540","2011-2012",94.6,283,0,3
"7470","2011-2012",95.4,424,9,11
"5240","2011-2012",86.2,295,5,29
"1260","2011-2012",92.9,418,30,21
"1390","2011-2012",95.3,223,5,17
"6280","2011-2012",95,461,26,20
"7500","2011-2012",94.5,653,15,17
"1150","2011-2012",91.8,474,28,21
"2390","2011-2012",93.7,369,40,34
"4100","2011-2012",91.1,379,24,14
"1530","2011-2012",93.9,298,39,29
"5430","2011-2012",95,391,15,7
"2090","2011-2012",88.2,914,5,43
"8260","2011-2012",96.7,407,9,6
"5250","2011-2012",95.1,176,3,2
"5330","2011-2012",95.1,511,22,12
"5470","2011-2012",94.1,684,28,26
"6250","2011-2012",97.3,434,7,6
"7290","2011-2012",94.8,453,35,23
"2370","2011-2012",93.4,914,48,34
"6350","2011-2012",94.2,488,23,36
"7510","2011-2012",94,650,20,28
"1580","2011-2012",96.4,257,4,2
"5070","2011-2012",95.3,297,0,2
"7270","2011-2012",96.3,848,17,16
"1330","2011-2012",91.5,760,41,32
"5300","2011-2012",94.3,427,17,12
"6480","2011-2012",97.6,209,5,0
"6270","2011-2012",97.7,491,6,9
"5530","2011-2012",93.6,783,47,35
"2420","2011-2012",94.3,347,21,9
"5440","2011-2012",94.1,793,59,35
"4390","2011-2012",93.5,374,31,15
"5290","2011-2012",94.8,313,51,11
"4330","2011-2012",89.7,237,6,12
"4030","2011-2012",96.8,725,1,5
"7490","2011-2012",95.3,432,17,15
"8320","2011-2012",94.9,191,6,4
"4320","2011-2012",97.3,532,42,16
"5680","2011-2012",94.3,670,33,28
"5550","2012-2013",84.1,366,31,28
"2200","2012-2013",93.5,503,83,21
"6300","2012-2013",95.3,353,66,11
"5320","2012-2013",94.7,416,74,18
"5430","2012-2013",95,398,1,6
"1190","2012-2013",97.4,244,1,5
"8350","2012-2013",96.4,1345,209,43
"2370","2012-2013",94.7,831,144,38
"6070","2012-2013",94.5,252,3,12
"7280","2012-2013",96.2,999,158,30
"2380","2012-2013",97.5,524,70,10
"5370","2012-2013",95.6,451,105,36
"4030","2012-2013",96.9,752,11,19
"6010","2012-2013",97.2,2339,6,14
"5480","2012-2013",95.6,446,74,9
"5590","2012-2013",95.1,919,201,38
"5650","2012-2013",93.9,103,2,9
"8380","2012-2013",96.8,991,146,18
"7200","2012-2013",95.6,807,327,34
"6410","2012-2013",94.4,522,76,37
"4220","2012-2013",94.9,294,68,15
"7130","2012-2013",93.5,467,15,29
"4020","2012-2013",83.8,1006,68,87
"2320","2012-2013",95.6,599,141,15
"8420","2012-2013",95.9,1014,141,12
"8410","2012-2013",96.4,762,156,14
"4150","2012-2013",87.4,201,15,5
"5080","2012-2013",94.5,471,4,14
"4140","2012-2013",75.8,436,36,30
"1080","2012-2013",87.6,517,31,37
"5090","2012-2013",95.1,259,1,4
"5110","2012-2013",93.4,256,28,10
"2490","2012-2013",95.1,306,61,12
"5050","2012-2013",96.1,206,0,1
"2010","2012-2013",88.3,574,47,56
"5470","2012-2013",95,695,125,26
"6220","2012-2013",95.8,617,139,17
"1290","2012-2013",95.1,569,63,15
"2590","2012-2013",94.9,267,40,12
"1300","2012-2013",96.2,490,105,36
"8320","2012-2013",94.8,198,2,3
"5250","2012-2013",94.7,225,37,5
"1200","2012-2013",95,828,177,24
"2690","2012-2013",95.8,465,72,17
"5450","2012-2013",85.5,342,16,21
"6340","2012-2013",94.6,393,85,16
"7510","2012-2013",94.1,704,146,34
"5520","2012-2013",85.2,427,75,22
"6040","2012-2013",96.2,529,0,7
"2540","2012-2013",97,527,101,16
"5490","2012-2013",93.9,413,111,21
"4330","2012-2013",91.6,197,8,14
"8340","2012-2013",96.1,1284,248,38
"2580","2012-2013",96.6,521,84,15
"4320","2012-2013",96,537,76,25
"8310","2012-2013",97,1189,277,37
"4470","2012-2013",93.5,368,81,13
"6210","2012-2013",97,562,130,33
"7100","2012-2013",95.3,405,70,16
"2510","2012-2013",96.9,406,76,11
"6090","2012-2013",93,547,24,20
"5680","2012-2013",94.1,711,122,11
"7730","2012-2013",91.8,548,19,13
"2450","2012-2013",96.4,255,39,3
"1030","2012-2013",94.2,408,6,29
"6430","2012-2013",94.1,454,90,19
"6260","2012-2013",95.5,464,63,20
"2470","2012-2013",97.3,579,87,9
"4300","2012-2013",92.4,458,95,27
"2720","2012-2013",96.8,338,50,6
"5280","2012-2013",92.9,479,77,21
"2440","2012-2013",91.6,402,80,24
"8160","2012-2013",95.9,1223,15,30
"1230","2012-2013",90.2,495,106,60
"4100","2012-2013",91.8,287,17,19
"7110","2012-2013",93.2,590,24,18
"8090","2012-2013",95.7,694,0,1
"2090","2012-2013",84.2,904,3,42
"1400","2012-2013",95.7,635,194,35
"8020","2012-2013",92.2,2964,62,94
"7320","2012-2013",93.7,281,56,15
"5600","2012-2013",86.3,227,10,19
"8400","2012-2013",97.2,1049,235,43
"8300","2012-2013",95.9,1091,179,36
"4280","2012-2013",95.5,379,77,36
"5070","2012-2013",95.1,260,3,2
"2290","2012-2013",93.3,779,3,17
"8210","2012-2013",94.3,528,110,16
"7330","2012-2013",94.9,823,161,31
"2130","2012-2013",84.8,278,25,10
"6020","2012-2013",86,676,55,51
"5210","2012-2013",95.4,575,97,18
"1490","2012-2013",93.1,431,74,10
"5420","2012-2013",96.3,569,108,13
"5060","2012-2013",93.5,687,0,9
"2340","2012-2013",98.1,642,114,22
"5340","2012-2013",94.5,327,76,34
"1280","2012-2013",98.1,553,82,3
"2160","2012-2013",91.5,552,21,13
"5440","2012-2013",94.4,799,206,26
"8360","2012-2013",97.5,571,128,30
"4440","2012-2013",94.1,484,93,20
"6100","2012-2013",95.1,275,12,14
"2480","2012-2013",95.6,214,42,9
"6470","2012-2013",95.2,788,204,33
"7460","2012-2013",96,520,107,21
"4570","2012-2013",93.3,368,79,19
"5020","2012-2013",76.8,1257,77,81
"7400","2012-2013",94.1,824,144,48
"1530","2012-2013",94.5,312,56,17
"7260","2012-2013",95.9,337,64,9
"7270","2012-2013",96.2,827,133,23
"2520","2012-2013",96.7,332,105,12
"6350","2012-2013",94.7,484,82,29
"7360","2012-2013",93.3,399,94,14
"6330","2012-2013",93.4,515,100,12
"6390","2012-2013",94.3,524,121,34
"4370","2012-2013",96.6,257,63,9
"6450","2012-2013",94.9,283,46,6
"6480","2012-2013",97.2,271,4,5
"2260","2012-2013",95.2,577,100,26
"6240","2012-2013",94.2,367,75,19
"2190","2012-2013",95.9,565,69,17
"4280","2011-2012",95.4,351,31,11
"8300","2011-2012",96,1044,15,13
"8440","2011-2012",95.6,767,40,21
"1200","2011-2012",93.1,835,64,27
"1050","2011-2012",93.4,275,7,9
"5350","2011-2012",95,309,5,13
"6310","2011-2012",96.3,401,16,21
"8390","2011-2012",95.6,822,23,12
"2210","2011-2012",96.3,370,15,13
"2470","2011-2012",96.4,520,3,4
"1460","2011-2012",92.1,561,35,54
"7430","2011-2012",94.5,644,38,26
"5320","2011-2012",95.5,403,31,8
"2140","2011-2012",98.5,1170,1,1
"2290","2011-2012",93.8,744,0,13
"1420","2011-2012",94.2,380,16,16
"6380","2011-2012",96.5,585,14,14
"7360","2011-2012",94.1,414,25,17
"4450","2011-2012",92.2,305,16,18
"8340","2011-2012",95.2,1220,36,46
"2190","2011-2012",95.7,512,15,12
"7370","2011-2012",95.8,713,24,12
"2650","2011-2012",96.1,484,2,2
"4240","2011-2012",95.2,649,21,19
"6200","2011-2012",96.6,474,31,47
"2630","2011-2012",95.5,537,14,11
"5600","2011-2012",90.4,167,12,17
"8350","2011-2012",95.9,1304,33,30
"1080","2011-2012",86.4,634,48,57
"8200","2011-2012",95.1,848,40,33
"2000","2011-2012",83.6,701,47,75
"4430","2011-2012",95.7,419,25,15
"6330","2011-2012",90.8,483,37,27
"7100","2011-2012",94.7,453,33,16
"5020","2011-2012",79.5,1433,81,72
"7330","2011-2012",94.5,859,22,22
"6230","2011-2012",95.9,312,3,12
"6450","2011-2012",96.8,259,5,5
"2540","2011-2012",96.3,490,11,6
"5150","2011-2012",95.6,558,1,6
"1470","2011-2012",94.5,437,29,27
"5200","2012-2013",95.5,405,42,10
"8270","2012-2013",95.4,504,106,15
"5350","2012-2013",95.3,295,51,19
"2730","2012-2013",97.3,277,68,9
"6060","2012-2013",82.3,755,41,33
"1380","2012-2013",93.5,811,192,62
"1050","2012-2013",94.3,267,1,2
"7380","2012-2013",95.3,559,123,26
"6540","2012-2013",95.3,322,2,2
"6050","2012-2013",95.4,1176,3,11
"1010","2012-2013",85.6,964,59,58
"5500","2012-2013",95.1,729,123,12
"4060","2012-2013",84.9,736,4,37
"8010","2012-2013",86.7,1794,89,71
"7220","2012-2013",94.5,1583,278,30
"4270","2012-2013",94.3,329,55,13
"7290","2012-2013",93.8,453,82,19
"7440","2012-2013",94.2,557,110,17
"8230","2012-2013",96.9,363,93,31
"6270","2012-2013",97.4,480,67,19
"4460","2012-2013",95.4,281,52,7
"5260","2012-2013",93,804,226,30
"7490","2012-2013",97,386,91,18
"2210","2012-2013",96.1,387,78,14
"7530","2012-2013",96.4,448,101,7
"2020","2012-2013",96.5,716,1,5
"1370","2012-2013",94,540,135,22
"6320","2012-2013",96.3,287,58,12
"4390","2012-2013",94.9,325,68,7
"1580","2012-2013",96.4,322,5,23
"5150","2012-2013",95.8,515,1,8
"2410","2012-2013",97.8,520,1,6
"6380","2012-2013",96.8,608,87,18
"2140","2012-2013",98.4,1175,4,1
"5230","2012-2013",96.1,680,7,13
"5390","2012-2013",92.1,403,75,19
"5240","2012-2013",87.8,251,8,14
"1020","2012-2013",84.3,832,53,29
"8180","2012-2013",96.6,492,89,7
"1470","2012-2013",89.6,516,85,36
"1130","2012-2013",97.5,375,23,11
"8370","2012-2013",96.1,510,113,13
"6250","2012-2013",93.8,429,79,32
"1250","2012-2013",96,587,150,24
"4380","2012-2013",95.5,383,118,16
"5170","2012-2013",94.6,648,100,32
"5300","2012-2013",94.6,419,78,14
"5290","2012-2013",93.6,328,67,18
"7390","2012-2013",95.9,649,116,29
"5510","2012-2013",79.8,373,36,38
"7370","2012-2013",96.2,655,14,10
"1420","2012-2013",94.4,389,56,12
"4400","2012-2013",94.7,328,68,13
"6280","2012-2013",94.5,487,89,11
"7010","2012-2013",84.5,1377,147,37
"2390","2012-2013",95,325,75,19
"1150","2012-2013",93.9,416,14,28
"8240","2012-2013",94.6,885,142,42
"1440","2012-2013",95.1,651,117,30
"4560","2012-2013",91.7,307,81,27
"8250","2012-2013",96.1,1083,205,41
"1360","2012-2013",90.8,377,76,38
"2630","2012-2013",95.8,561,79,21
"1060","2012-2013",90.7,295,2,3
"7300","2012-2013",95.3,921,143,23
"2240","2012-2013",95.2,401,60,6
"1410","2012-2013",92.8,588,93,15
"6400","2012-2013",84,176,9,4
"2650","2012-2013",96.7,488,2,0
"1350","2012-2013",91.4,480,109,49
"1430","2012-2013",95.4,225,50,9
"4240","2012-2013",91.9,638,140,57
"6030","2012-2013",91.3,483,15,12
"7430","2012-2013",94.4,657,178,22
"8040","2012-2013",96.4,558,1,4
"4310","2012-2013",93.9,385,76,20
"8390","2012-2013",94.8,864,150,31
"1260","2012-2013",93.9,443,95,23
"8120","2012-2013",95.5,1165,15,22
"5410","2012-2013",94.5,276,75,10
"4480","2012-2013",97.4,238,12,2
"6440","2012-2013",95.8,426,68,19
"5560","2012-2013",95,274,48,9
"6460","2012-2013",95.3,240,2,0
"5330","2012-2013",94.5,488,90,12
"8140","2012-2013",94.5,581,10,12
"6230","2012-2013",94.6,287,5,19
"2670","2012-2013",94.8,382,4,13
"2640","2012-2013",96.9,545,114,14
"4530","2012-2013",95,360,64,19
"2620","2012-2013",97.1,718,3,3
"8200","2012-2013",95.2,873,139,34
"1460","2012-2013",94.5,597,117,32
"6200","2012-2013",96.9,471,78,33
"1110","2012-2013",94.2,191,10,8
"8030","2012-2013",91,1875,40,46
"8430","2012-2013",97.6,714,111,5
"8440","2012-2013",95.4,807,167,20
"4430","2012-2013",94.7,365,104,48
"2420","2012-2013",94,367,80,12
"4450","2012-2013",92.1,293,56,1
"7500","2012-2013",94.4,610,19,18
"7350","2012-2013",95.8,961,240,15
"5530","2012-2013",94.1,737,225,30
"6110","2012-2013",93.3,317,12,19
"2000","2012-2013",85.7,627,37,35
"1390","2012-2013",96,259,62,11
"8260","2012-2013",96.3,458,102,12
"1100","2012-2013",83.5,513,29,25
"6310","2012-2013",96.6,385,64,13
"1330","2012-2013",87.5,690,117,19
"7310","2012-2013",96.1,625,18,16
"7150","2012-2013",96.6,1076,159,12
"1340","2012-2013",96.1,400,80,7
"5400","2012-2013",94.6,690,163,13
"7470","2012-2013",94.8,399,92,9
"7120","2012-2013",88.2,1370,63,41
"5510","2009-2010",77.8,562,126,166
"5050","2009-2010",94.1,262,1,15
"2620","2009-2010",95.1,495,12,7
"7300","2009-2010",93,953,121,137
"4570","2009-2010",92.3,364,52,46
"7430","2009-2010",91.2,668,129,100
"2590","2009-2010",93.6,243,23,16
"4380","2009-2010",93.5,415,72,50
"1370","2009-2010",92.3,530,74,74
"4560","2009-2010",93.1,289,57,40
"8370","2009-2010",94.4,409,34,29
"1020","2011-2012",82.6,795,65,48
"4220","2011-2012",93.5,272,19,7
"2010","2011-2012",86,605,38,46
"7320","2011-2012",95.5,293,14,13
"7260","2011-2012",95.4,348,19,7
"7350","2011-2012",96.4,981,42,27
"4020","2011-2012",81.9,1181,78,82
"7130","2011-2012",94.1,540,18,19
"1100","2011-2012",85.8,596,42,47
"4530","2011-2012",94.7,344,10,3
"2690","2011-2012",95.3,489,21,9
"6460","2011-2012",96.6,224,3,2
"5280","2011-2012",94.7,533,19,21
"1280","2011-2012",98.2,553,1,6
"8230","2011-2012",96.3,386,7,20
"8430","2011-2012",97.4,683,22,7
"2640","2011-2012",96.6,498,10,6
"5420","2011-2012",95.3,610,20,12
"1430","2011-2012",95.2,261,18,7
"5110","2011-2012",91.6,277,11,10
"6100","2011-2012",93.9,260,10,26
"5080","2011-2012",95,378,2,3
"4310","2011-2012",93.9,345,14,14
"6050","2011-2012",94.8,991,9,8
"5050","2011-2012",94.9,236,0,3
"1490","2011-2012",94,416,27,23
"2520","2011-2012",96.5,359,0,2
"1190","2011-2012",97.6,217,2,6
"7390","2011-2012",94.4,679,41,20
"6210","2011-2012",97.3,548,26,19
"6020","2011-2012",80.6,819,69,70
"7010","2011-2012",77.4,1622,93,157
"1110","2011-2012",93.7,233,14,7
"7730","2011-2012",92.6,662,27,30
"2260","2011-2012",95.2,601,22,14
"5480","2011-2012",97.1,421,11,7
"5560","2011-2012",94.8,287,20,14
"2490","2011-2012",95.2,263,12,10
"8370","2011-2012",96.2,465,5,5
"8160","2011-2012",96,1265,16,65
"1440","2011-2012",95.3,604,25,16
"6240","2011-2012",94.7,351,29,17
"1350","2011-2012",93.7,503,21,27
"8310","2011-2012",96.6,1146,34,24
"8410","2011-2012",96.2,739,25,22
"8270","2011-2012",93.8,429,21,11
"6430","2011-2012",92,421,20,36
"5450","2011-2012",85.9,392,25,21
"2240","2011-2012",95.1,383,7,4
"6260","2011-2012",95.5,506,16,18
"8030","2011-2012",90,1933,49,59
